,Dispatching_base_num,Pickup_DateTime,DropOff_datetime,PUlocationID,DOlocationID,SR_Flag
8883609,B02882,2017-07-11 21:00:09,2017-07-11 21:14:53,50.0,162.0,1.0
9069828,B02882,2017-07-12 09:09:44,2017-07-12 09:14:06,77.0,77.0,1.0
9370400,B02682,2017-07-12 20:34:46,2017-07-12 20:46:20,161.0,262.0,1.0
6867993,B02800,2017-07-07 19:55:43,2017-07-07 20:13:55,170.0,262.0,1.0
4982437,B02510,2017-07-20 15:21:49,2017-07-20 15:42:08,256.0,148.0,1.0
7979128,B02879,2017-07-09 21:28:26,2017-07-09 21:59:30,62.0,77.0,1.0
7521745,B02765,2017-07-08 23:04:32,2017-07-08 23:39:14,82.0,177.0,1.0
11232351,B02510,2017-07-16 02:34:27,2017-07-16 03:05:25,107.0,56.0,1.0
4456642,B02864,2017-07-19 18:12:02,2017-07-19 18:20:13,228.0,14.0,1.0
5240019,B02876,2017-07-22 23:22:14,2017-07-23 00:01:30,155.0,165.0,1.0
